windows_run_0,windows_run_1,window_mean
1,1,1.0
2,2,2.0
3,3,3.0
4,4,4.0
5,5,5.0
6,6,6.0
7,7,7.0
8,8,8.0
9,9,9.0
10,10,10.0
11,11,11.0
12,12,12.0
13,13,13.0
14,14,14.0
15,15,15.0
16,16,16.0
17,17,17.0
18,18,18.0
19,19,19.0
20,20,20.0
21,21,21.0
22,22,22.0
23,23,23.0
24,24,24.0
25,25,25.0
26,26,26.0
27,27,27.0
28,28,28.0
29,29,29.0
30,30,30.0
31,31,31.0
32,32,32.0
33,33,33.0
34,34,34.0
35,35,35.0
36,36,36.0
37,37,37.0
38,38,38.0
39,39,39.0
40,40,40.0
41,41,41.0
42,42,42.0
43,43,43.0
44,44,44.0
45,45,45.0
46,46,46.0
47,47,47.0
48,48,48.0
49,49,49.0
50,50,50.0
51,51,51.0
52,50,51.0
50,53,51.5
54,54,54.0
50,50,50.0
56,50,53.0
57,50,53.5
58,58,58.0
59,59,59.0
60,60,60.0
61,61,61.0
62,62,62.0
63,63,63.0
64,64,64.0
65,65,65.0
66,66,66.0
67,67,67.0
68,50,59.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
74,74,74.0
75,75,75.0
76,76,76.0
77,75,76.0
78,78,78.0
79,50,64.5
50,80,65.0
81,50,65.5
82,82,82.0
50,83,66.5
50,50,50.0
50,50,50.0
50,86,68.0
50,50,50.0
50,88,69.0
50,50,50.0
90,90,90.0
50,91,70.5
50,50,50.0
93,50,71.5
50,50,50.0
95,50,72.5
50,96,73.0
97,97,97.0
98,50,74.0
99,99,99.0
100,75,87.5
101,50,75.5
102,102,102.0
103,103,103.0
104,104,104.0
105,75,90.0
75,75,75.0
50,107,78.5
108,75,91.5
109,75,92.0
110,110,110.0
111,100,105.5
50,112,81.0
50,50,50.0
50,50,50.0
50,50,50.0
50,75,62.5
117,100,108.5
118,118,118.0
75,75,75.0
75,120,97.5
50,121,85.5
122,122,122.0
123,123,123.0
50,100,75.0
125,100,112.5
126,100,113.0
127,125,126.0
125,100,112.5
100,100,100.0
100,130,115.0
131,131,131.0
125,125,125.0
133,125,129.0
50,100,75.0
135,50,92.5
50,50,50.0
137,50,93.5
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
