windows_run_0,windows_run_1,window_mean
1,1,1.0
2,2,2.0
3,3,3.0
4,4,4.0
5,5,5.0
6,6,6.0
7,7,7.0
8,8,8.0
9,9,9.0
10,10,10.0
11,11,11.0
12,12,12.0
13,13,13.0
14,14,14.0
15,15,15.0
16,16,16.0
17,17,17.0
18,18,18.0
19,19,19.0
20,20,20.0
21,21,21.0
22,22,22.0
23,23,23.0
24,24,24.0
25,25,25.0
26,26,26.0
27,27,27.0
28,28,28.0
29,29,29.0
30,30,30.0
31,31,31.0
32,32,32.0
33,33,33.0
34,34,34.0
35,35,35.0
36,36,36.0
37,37,37.0
38,38,38.0
39,39,39.0
40,40,40.0
41,41,41.0
42,42,42.0
43,43,43.0
44,44,44.0
45,45,45.0
46,46,46.0
47,47,47.0
48,48,48.0
49,49,49.0
50,50,50.0
51,51,51.0
52,52,52.0
53,53,53.0
54,50,52.0
55,55,55.0
56,56,56.0
50,50,50.0
58,58,58.0
59,59,59.0
60,60,60.0
61,61,61.0
62,62,62.0
63,63,63.0
64,64,64.0
50,65,57.5
66,66,66.0
67,67,67.0
68,68,68.0
50,69,59.5
70,70,70.0
50,50,50.0
50,50,50.0
73,73,73.0
74,74,74.0
50,50,50.0
76,76,76.0
77,77,77.0
78,78,78.0
79,79,79.0
80,50,65.0
50,50,50.0
82,82,82.0
83,50,66.5
84,84,84.0
50,50,50.0
50,50,50.0
50,87,68.5
88,50,69.0
89,89,89.0
90,90,90.0
91,50,70.5
50,92,71.0
50,50,50.0
94,94,94.0
95,95,95.0
96,50,73.0
75,50,62.5
50,98,74.0
75,99,87.0
100,100,100.0
101,101,101.0
102,102,102.0
103,75,89.0
104,104,104.0
75,105,90.0
75,106,90.5
107,107,107.0
75,50,62.5
75,75,75.0
110,110,110.0
50,111,80.5
112,112,112.0
50,50,50.0
50,50,50.0
50,115,82.5
50,50,50.0
117,117,117.0
100,75,87.5
75,119,97.0
120,120,120.0
121,121,121.0
122,122,122.0
123,123,123.0
124,100,112.0
100,125,112.5
126,126,126.0
127,100,113.5
128,100,114.0
50,100,75.0
100,100,100.0
100,131,115.5
132,125,128.5
100,125,112.5
125,50,87.5
50,135,92.5
50,50,50.0
50,100,75.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
