windows_run_0,windows_run_1,window_mean
1,1,1.0
2,2,2.0
3,3,3.0
4,4,4.0
5,5,5.0
6,6,6.0
7,7,7.0
8,8,8.0
9,9,9.0
10,10,10.0
11,11,11.0
12,12,12.0
13,13,13.0
14,14,14.0
15,15,15.0
16,16,16.0
17,17,17.0
18,18,18.0
19,19,19.0
20,20,20.0
21,21,21.0
22,22,22.0
23,23,23.0
24,24,24.0
25,25,25.0
26,26,26.0
27,27,27.0
28,28,28.0
29,29,29.0
30,30,30.0
31,31,31.0
32,32,32.0
33,33,33.0
34,34,34.0
35,35,35.0
36,36,36.0
37,37,37.0
38,38,38.0
39,39,39.0
40,40,40.0
41,41,41.0
42,42,42.0
43,43,43.0
44,44,44.0
45,45,45.0
46,46,46.0
47,47,47.0
48,48,48.0
49,49,49.0
50,50,50.0
51,50,50.5
50,52,51.0
50,53,51.5
54,54,54.0
55,55,55.0
50,56,53.0
57,50,53.5
58,58,58.0
59,59,59.0
60,60,60.0
50,61,55.5
62,62,62.0
63,63,63.0
64,64,64.0
65,65,65.0
66,66,66.0
67,67,67.0
68,50,59.0
50,69,59.5
50,70,60.0
71,50,60.5
50,50,50.0
50,50,50.0
74,50,62.0
75,75,75.0
76,76,76.0
77,77,77.0
78,78,78.0
79,79,79.0
50,50,50.0
81,81,81.0
50,82,66.0
50,50,50.0
84,84,84.0
50,85,67.5
50,50,50.0
87,50,68.5
50,88,69.0
50,89,69.5
90,90,90.0
91,91,91.0
92,92,92.0
93,50,71.5
94,50,72.0
95,95,95.0
50,96,73.0
50,50,50.0
50,98,74.0
99,99,99.0
100,100,100.0
101,50,75.5
100,102,101.0
103,103,103.0
75,104,89.5
105,105,105.0
106,75,90.5
107,50,78.5
108,50,79.0
75,75,75.0
110,110,110.0
111,50,80.5
50,50,50.0
50,50,50.0
114,50,82.0
100,115,107.5
75,116,95.5
117,117,117.0
100,75,87.5
119,100,109.5
120,100,110.0
121,121,121.0
122,122,122.0
100,123,111.5
124,124,124.0
125,125,125.0
126,126,126.0
125,100,112.5
100,128,114.0
129,100,114.5
130,125,127.5
100,131,115.5
125,100,112.5
133,133,133.0
125,50,87.5
50,50,50.0
136,50,93.0
125,137,131.0
138,50,94.0
50,50,50.0
140,50,95.0
50,50,50.0
50,50,50.0
