Date,N
0,24.835707650561634
1,-6.913215058559233
2,32.38442690503462
3,76.15149282040127
4,-11.707668736166799
5,-11.706847847459027
6,78.96064077536957
7,38.37173645764544
8,-23.473719296747607
9,27.12800217929823
10,-23.170884640623115
11,-23.28648767851284
12,12.098113578301707
13,-95.66401223288989
14,-86.24589162565164
15,-28.114376462048636
16,-50.64155601672119
17,15.712366629763693
18,-45.401203776060555
19,-70.61518506676458
20,73.2824384460777
21,-11.288815024326784
22,3.3764102343961917
23,-71.23740931067285
24,-27.21913622625913
25,5.546129485493304
26,-57.54967887111514
27,18.784900917283597
28,-30.03193449594025
29,-14.584687489663839
30,-30.085330611469846
31,92.61390922544689
32,-0.6748612368966957
33,-52.885546447794994
34,41.12724560515945
35,-61.042182498551114
36,10.44317975023777
37,-97.98350619398877
38,-66.40930244492152
39,9.843061793456176
40,36.92332899977052
41,8.568414059498524
42,-5.782414119412026
43,-15.05518477946444
44,-73.92609951837137
45,-35.99221041973543
46,-23.031938547989377
47,52.856111310945785
48,17.18091447842307
49,-88.1520077681367
50,16.20419846973975
51,-19.254114020815827
52,-33.846100015297935
53,30.583814442043394
54,51.549976124797546
55,46.564005955809925
56,-41.96087616113193
57,-15.460618792560728
58,16.5631715701782
59,48.77725635611796
60,-23.958711892264496
61,-9.282948833190856
62,-55.31674870030141
63,-59.81033120403354
64,40.626291119709904
65,67.81200142854115
66,-3.6005060790166925
67,50.17664489460121
68,18.08180125238171
69,-32.255987730256216
70,18.069780275420698
71,76.90182832329846
72,-1.7913019554975766
73,78.2321827907003
74,-130.9872552044872
75,41.09512521876119
76,4.352353411908567
77,-14.950367523293393
78,4.588038826775115
79,-99.37844573004465
80,-10.983594391875597
81,17.85562857558732
82,73.8947022370758
83,-25.91351091368237
84,-40.42468014465938
85,-25.08785217922683
86,45.7701058851037
87,16.437555482984223
88,-26.48801018835194
89,25.663371655667806
90,4.853877467402019
91,48.43224952664446
92,-35.10265469386762
93,-16.38310732988841
94,-19.60540765660788
95,-73.17574740660592
96,14.806013853228803
97,13.052763608994466
98,0.25567283212304504
99,-11.72935666875737
100,-70.76853710252071
101,-21.032266138267953
102,-17.135725826338476
103,-40.113863461080946
104,-8.064285583300457
105,20.20254284072692
106,94.30929506052651
107,8.728890641591947
108,12.877519536138198
109,-3.7222957883083554
110,-95.93856076495207
111,-1.325693772460844
112,3.011510497051322
113,123.16210562426431
114,-9.618048239056126
115,15.077367116680623
116,-1.7355884852621655
117,-58.4339018809766
118,57.14114072575103
119,37.596651634338706
120,39.55159735215234
121,-45.46937273973695
122,70.13971554680496
123,-70.09255313961404
124,29.342854690013514
125,109.52278129049893
126,-49.52681625653442
127,-28.314886480138597
128,4.982568254382061
129,-25.17378270580996
130,-77.53317155330663
131,3.428148740301366
132,-53.115185686305246
133,23.67962153175908
134,-45.97121171169017
135,77.49672025087699
136,-39.16266461681185
137,-16.10307581028378
138,40.67586086848349
139,-61.543215821697764
140,11.37299673020647
141,65.35713771412141
142,-80.37416172806138
143,9.23169292661521
144,12.994139712421173
145,39.0911435888655
146,-61.8475355439041
147,-66.02283065421382
148,26.097078280844883
149,14.849233661659303
150,12.524642517293833
151,17.322410474848795
152,-34.00123607892454
153,11.612684858050178
154,14.653623664934063
155,-35.71757090131839
156,93.28872555723783
157,23.691646045589376
158,-59.56517486013243
159,32.82768043169148
160,-48.73408351136607
161,39.3542301871226
162,57.929778950370206
163,-41.034115917585524
164,48.16880646221609
165,20.639046346824916
166,41.1030079997245
167,94.83964913269737
168,-12.269405800143526
169,-37.68680821787448
170,-44.47572148127617
171,-40.79051424827191
172,-3.855085470705206
173,17.057598740832177
174,13.834539966500953
175,41.35916245180119
176,0.650094593895351
177,72.67670385786585
178,-13.232841661897805
179,136.00845832948093
180,31.283367388250312
181,-42.857877820814124
182,-53.54462490305561
183,24.123620762159266
184,-11.173139266292543
185,35.700024704604594
186,23.66188122867724
187,-3.641445632843639
188,-42.339685903420246
189,-75.74236123429323
190,-22.325747603351054
191,42.819939716173614
192,10.704687206510197
193,-62.2869389355994
194,8.6590462925591
195,19.265868986441838
196,-44.19287181005665
197,7.686255297276396
198,2.9104359222999947
199,-57.14851489153116
200,17.889368017414164
201,28.03922631841172
202,54.15256215876385
203,52.690102601745146
204,-68.88346839785456
205,-46.891251995756136
206,25.75176336043299
207,25.68929754561044
208,25.75238431530239
209,192.63657453273603
210,28.544525534658348
211,56.778282009029944
212,47.70008817466012
213,32.5695625652899
214,-15.763462232017279
215,37.94846102466336
216,-38.64126072687859
217,-11.840930337000444
218,-24.268177391455172
219,4.093706969316128
220,115.73292833367543
221,-93.36325962958742
222,34.31300951872568
223,-80.6357935594826
224,-23.596593289471677
225,54.44752984836831
226,3.2140009547731383
227,-53.887238896465306
228,-35.76518546299841
229,33.97988744673379
230,-36.518331585856835
231,10.822929479098743
232,2.2785919951906886
233,-32.58001738029084
234,107.19720446626629
235,31.695951115900563
236,-101.25712933288035
237,9.322715738471382
238,-33.0893232384194
239,42.6216667398112
240,-39.626036921635034
241,-5.736822073344951
242,25.249363949022857
243,43.28775970850607
244,-60.01482035278881
245,-16.72506179204742
246,-23.747265558047808
247,-32.666461628685596
248,88.27271201405485
249,20.249085548047777
250,-63.04419771675226
251,45.893097352738806
252,106.10780985063167
253,51.62326302755734
254,-75.96849829770068
255,-24.211703643312568
256,63.34555745933114
257,-35.383473280939036
258,22.190971407311423
259,38.73170267146684
260,-46.34652357890415
261,-2.976267803090004
262,-162.06336700345364
263,-51.219382066714495
264,-12.628407569658014
265,-62.38915909824247
266,81.62056519658177
267,-71.50706889803163
268,-22.00222433484919
269,6.537028864304567
270,72.06366445330578
271,-71.79310755897197
272,58.158187607747976
273,0.5116530509793524
274,-49.075432552397544
275,23.105173713163538
276,9.952984778673502
277,-30.010843857939733
278,3.490104249500943
279,-19.265679843087995
280,5.6758672625624
281,33.10653372605232
282,79.3008408072676
283,-61.89077494134245
284,106.65166873281333
285,-97.60438997612509
286,-7.589254751779162
287,29.41586032422881
288,14.049593386751635
289,-31.134975991029695
290,-10.406112517863766
291,-24.650046732941654
292,-29.468237847210588
293,42.48010485105125
294,17.850774298252368
295,-34.64547976303271
296,44.979993771662535
297,15.364976043830467
298,40.64310594194801
299,31.48144209618061
300,-41.44975054610362
301,-28.009052009848485
302,37.36468025616309
303,30.518513271673243
304,-1.0450796982074066
305,5.8663691654390995
306,63.88324478942125
307,-29.578569441791497
308,27.354869058501883
309,-10.109632621694699
310,-10.884060161361019
311,54.93884259935952
312,41.27081744940149
313,40.675481800031925
314,65.27394035771646
315,1.0501920816379524
316,34.0976485647482
317,-15.513337829672802
318,16.208317624422104
319,-6.507152718384229
320,4.849798249635909
321,29.75785127184568
322,-40.911034161673626
323,104.619363784273
324,-50.3008690749851
325,-60.70943063938661
326,57.90554367500339
327,39.58313469814679
328,31.205990852607755
329,31.417275463213993
330,-0.6123386423457311
331,-44.86271857429158
332,3.7902279096863167
333,-33.858085575605585
334,48.75598667088756
335,-7.352869075106932
336,-41.27485983962558
337,-16.06929208264967
338,20.646572713781225
339,-28.186227640198748
340,-41.11101977832157
341,12.184360574595615
342,12.248328555436139
343,-25.34715876855649
344,-23.551915280916138
345,11.602496867881815
346,-72.40421707486621
347,-70.37318871882776
348,-35.9222110626218
349,-10.672357585592362
350,15.545378279900229
351,73.7678108474776
352,42.88298116010097
353,-7.996926498171356
354,-0.9508103951344415
355,-50.12646823189044
356,-0.9256567996194951
357,-14.432931946006894
358,16.135928016904476
359,-41.361547177616146
360,25.967325712058614
361,76.63694565012888
