,windows_run_0,window_mean
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,
162,,
163,,
164,,
165,,
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,141.0,141.0
199,141.0,141.0
200,141.0,141.0
201,141.0,141.0
202,141.0,141.0
203,141.0,141.0
204,141.0,141.0
205,141.0,141.0
206,141.0,141.0
207,141.0,141.0
208,141.0,141.0
209,141.0,141.0
210,141.0,141.0
211,141.0,141.0
212,141.0,141.0
213,141.0,141.0
214,141.0,141.0
215,141.0,141.0
216,141.0,141.0
217,141.0,141.0
218,141.0,141.0
219,141.0,141.0
220,141.0,141.0
221,141.0,141.0
222,141.0,141.0
223,141.0,141.0
224,141.0,141.0
225,141.0,141.0
226,141.0,141.0
227,141.0,141.0
228,141.0,141.0
229,141.0,141.0
230,141.0,141.0
231,141.0,141.0
232,141.0,141.0
233,141.0,141.0
234,141.0,141.0
235,141.0,141.0
236,141.0,141.0
237,141.0,141.0
238,141.0,141.0
239,141.0,141.0
240,141.0,141.0
241,141.0,141.0
242,141.0,141.0
243,141.0,141.0
244,141.0,141.0
245,141.0,141.0
246,141.0,141.0
247,141.0,141.0
248,141.0,141.0
249,141.0,141.0
250,141.0,141.0
251,141.0,141.0
252,141.0,141.0
253,141.0,141.0
254,141.0,141.0
255,141.0,141.0
256,141.0,141.0
257,141.0,141.0
258,141.0,141.0
259,141.0,141.0
260,141.0,141.0
