N,Z_0,Z_1,Z_2,Z_3
-0.8570860325809405,0.0,0.0,-0.029304544798655602,0.3967590877845729
-0.655991455721848,-0.33108974890703624,0.17581476236262247,0.08148020810188585,0.3137790227669867
-0.43542123494283924,-0.39318015443084836,0.2398633662714142,0.6974639801574415,-0.16213750210092945
0.4849888079999484,-0.288068844914468,0.3912051701490006,-0.3621725027108548,0.6516499378547737
0.3097192985646076,-0.004057211792057314,0.44366415875672355,0.49466634559774797,0.971313800053462
0.5143545445754145,0.023369388038394733,0.671422862595508,-0.540578384879909,-0.31335067073799355
0.7788327266545085,-0.11479244209566337,0.6265950920175283,-0.9001243923823682,0.2950431420925099
0.4231847055397576,-0.310987530931733,0.7158978960099276,0.21562326292407738,-0.5078356542946916
0.6819341426542137,-0.1238010882480852,0.571613572471135,-0.10144754688364427,0.2559018120099958
1.2792171978187425,0.2848946724915592,0.8058883412904141,-0.2128365644121658,-0.5008829986767717
0.7862465751677878,0.3530868664527396,0.3671378908918084,-1.1560735038666625,0.16336036836383452
0.6063705164864903,0.0447547004450467,0.4016887986133567,0.22289442522358577,1.090681047439708
0.1706036481110495,-0.19481160091397548,0.47126999019867727,-0.19021273793991586,-0.16206550312788917
0.3673981945776824,0.2051931713358024,0.5370783596654087,-0.5487991657334316,0.867995328907372
0.7310687076201542,0.2559137814629545,0.533120172301289,-0.01964640303596014,0.8082198991399512
0.29543476772890576,-0.1771199291469417,0.7983311983986751,-0.5595866451535343,0.7351418676743079
0.8334943092939043,-0.19804397735119814,1.2186169885355569,-0.350344027358809,-0.07000373320525945
0.7732343986160188,-0.4888504707123853,1.0971378241572984,-0.37164425408655194,-0.5903068101251819
0.3169841139822155,-0.6461724942277739,0.7131202798923176,0.5183757913455728,0.14424628613692234
-0.6309647377178151,-0.7681739500469883,0.49328449495641996,-0.02514563957007563,0.4375988565618918
-1.13581100117521,-0.9465022929550492,0.3284079391494505,0.6730922808339379,-0.1662028044610295
-1.2844383283463028,-0.8081576753667268,0.298787484323081,-0.3755728394924498,-0.33237693042530303
-1.1888089729494804,-0.8239291683480491,0.28526008589109525,-0.5679213476781112,-0.518180335904758
-1.2251577132730809,-0.9712869828562003,0.49835316617172165,0.9054540550517636,1.615677996536369
-0.7619316538576967,-0.868877526216921,0.41049250406276144,-0.6630835755948158,-0.9291224387804529
-0.11430762929526544,-0.66141369945159,0.400566627835272,0.632747698773524,0.4995917484475794
