windows_run_0,windows_run_1,window_mean
1,1,1.0
2,2,2.0
3,3,3.0
4,4,4.0
5,5,5.0
6,6,6.0
7,7,7.0
8,8,8.0
9,9,9.0
10,10,10.0
11,11,11.0
12,12,12.0
13,13,13.0
14,14,14.0
15,15,15.0
16,16,16.0
17,17,17.0
18,18,18.0
19,19,19.0
20,20,20.0
21,21,21.0
22,22,22.0
23,23,23.0
24,24,24.0
25,25,25.0
26,26,26.0
27,27,27.0
28,28,28.0
29,29,29.0
30,30,30.0
31,31,31.0
32,32,32.0
33,33,33.0
34,34,34.0
35,35,35.0
36,36,36.0
37,37,37.0
38,38,38.0
39,39,39.0
40,40,40.0
41,41,41.0
42,42,42.0
43,43,43.0
44,44,44.0
45,45,45.0
46,46,46.0
47,47,47.0
48,48,48.0
49,49,49.0
50,50,50.0
50,51,50.5
52,52,52.0
53,53,53.0
54,54,54.0
55,55,55.0
50,56,53.0
50,50,50.0
58,58,58.0
59,50,54.5
60,50,55.0
61,50,55.5
62,50,56.0
63,63,63.0
64,50,57.0
65,65,65.0
66,50,58.0
50,67,58.5
68,50,59.0
50,50,50.0
50,70,60.0
50,71,60.5
50,50,50.0
73,50,61.5
50,74,62.0
75,75,75.0
75,75,75.0
77,77,77.0
78,78,78.0
79,79,79.0
50,80,65.0
50,50,50.0
82,50,66.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
87,87,87.0
50,88,69.0
50,50,50.0
90,90,90.0
50,91,70.5
50,92,71.0
93,50,71.5
50,50,50.0
95,50,72.5
96,50,73.0
50,97,73.5
98,98,98.0
50,99,74.5
75,50,62.5
101,75,88.0
102,102,102.0
50,103,76.5
104,75,89.5
75,105,90.0
106,106,106.0
75,107,91.0
50,75,62.5
109,75,92.0
110,110,110.0
50,111,80.5
50,112,81.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
100,100,100.0
100,75,87.5
119,75,97.0
120,75,97.5
100,121,110.5
100,75,87.5
100,123,111.5
100,124,112.0
125,100,112.5
125,100,112.5
125,127,126.0
100,75,87.5
125,100,112.5
130,125,127.5
75,131,103.0
125,100,112.5
50,100,75.0
50,125,87.5
100,50,75.0
50,50,50.0
50,100,75.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
