windows_run_0,windows_run_1,window_mean
1,1,1.0
2,2,2.0
3,3,3.0
4,4,4.0
5,5,5.0
6,6,6.0
7,7,7.0
8,8,8.0
9,9,9.0
10,10,10.0
11,11,11.0
12,12,12.0
13,13,13.0
14,14,14.0
15,15,15.0
16,16,16.0
17,17,17.0
18,18,18.0
19,19,19.0
20,20,20.0
21,21,21.0
22,22,22.0
23,23,23.0
24,24,24.0
25,25,25.0
26,26,26.0
27,27,27.0
28,28,28.0
29,29,29.0
30,30,30.0
31,31,31.0
32,32,32.0
33,33,33.0
34,34,34.0
35,35,35.0
36,36,36.0
37,37,37.0
38,38,38.0
39,39,39.0
40,40,40.0
41,41,41.0
42,42,42.0
43,43,43.0
44,44,44.0
45,45,45.0
46,46,46.0
47,47,47.0
48,48,48.0
49,49,49.0
50,50,50.0
51,51,51.0
52,52,52.0
53,50,51.5
54,54,54.0
55,50,52.5
56,56,56.0
50,57,53.5
58,58,58.0
59,59,59.0
60,60,60.0
50,61,55.5
62,62,62.0
63,63,63.0
64,64,64.0
65,65,65.0
66,66,66.0
67,67,67.0
50,50,50.0
50,50,50.0
70,70,70.0
50,50,50.0
50,50,50.0
73,50,61.5
74,74,74.0
75,75,75.0
76,76,76.0
77,50,63.5
78,50,64.0
79,50,64.5
50,50,50.0
50,50,50.0
82,50,66.0
83,50,66.5
50,84,67.0
50,50,50.0
50,86,68.0
87,87,87.0
50,50,50.0
50,50,50.0
90,50,70.0
91,91,91.0
75,75,75.0
93,50,71.5
94,94,94.0
50,95,72.5
50,50,50.0
97,97,97.0
50,50,50.0
99,99,99.0
50,100,75.0
101,101,101.0
102,100,101.0
103,103,103.0
104,75,89.5
105,105,105.0
106,106,106.0
75,107,91.0
75,75,75.0
109,109,109.0
110,110,110.0
111,50,80.5
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
50,100,75.0
100,117,108.5
118,75,96.5
75,75,75.0
100,75,87.5
121,121,121.0
122,100,111.0
123,100,111.5
100,100,100.0
100,125,112.5
126,126,126.0
125,127,126.0
128,125,126.5
100,50,75.0
125,100,112.5
131,131,131.0
125,132,128.5
100,100,100.0
50,125,87.5
125,50,87.5
50,50,50.0
50,137,93.5
50,138,94.0
50,50,50.0
50,50,50.0
50,50,50.0
50,50,50.0
